iter	Passed	Remaining
0	0	341
1	0	278
2	0	254
3	1	260
4	1	267
5	1	260
6	1	255
7	2	250
8	2	244
9	2	234
10	2	233
11	2	230
12	3	227
13	3	224
14	3	221
15	3	219
16	3	218
17	3	216
18	4	216
19	4	214
20	4	213
21	4	211
22	4	211
23	5	211
24	5	210
25	5	209
26	5	208
27	5	207
28	6	207
29	6	206
30	6	206
31	6	205
32	6	204
33	7	203
34	7	202
35	7	202
36	7	201
37	7	201
38	8	200
39	8	199
40	8	200
41	8	200
42	9	200
43	9	200
44	9	199
45	9	199
46	9	198
47	9	198
48	10	198
49	10	198
50	10	199
51	10	198
52	11	198
53	11	198
54	11	197
55	11	196
56	11	196
57	12	196
58	12	196
59	12	195
60	12	195
61	12	195
62	13	195
63	13	194
64	13	194
65	13	194
66	13	193
67	14	193
68	14	193
69	14	192
70	14	192
71	14	192
72	15	193
73	15	192
74	15	192
75	15	191
76	15	191
77	16	191
78	16	191
79	16	193
80	16	192
81	17	192
82	17	191
83	17	190
84	17	190
85	17	190
86	18	190
87	18	190
88	18	190
89	18	190
90	19	189
91	19	190
92	19	190
93	19	190
94	19	189
95	20	189
96	20	188
97	20	189
98	20	188
99	20	188
100	21	187
101	21	187
102	21	187
103	21	187
104	21	187
105	22	186
106	22	186
107	22	187
108	22	186
109	23	186
110	23	186
111	23	186
112	23	186
113	23	185
114	24	185
115	24	185
116	24	184
117	24	184
118	24	184
119	25	183
120	25	182
121	25	182
122	25	181
123	25	181
124	25	181
125	26	181
126	26	180
127	26	180
128	26	180
129	26	180
130	27	179
131	27	179
132	27	179
133	27	179
134	27	178
135	28	178
136	28	178
137	28	177
138	28	177
139	28	177
140	29	177
141	29	177
142	29	176
143	29	176
144	29	176
145	30	175
146	30	175
147	30	175
148	30	175
149	30	174
150	31	174
151	31	174
152	31	173
153	31	173
154	31	173
155	32	173
156	32	172
157	32	172
158	32	172
159	32	172
160	33	172
161	33	171
162	34	174
163	34	174
164	34	174
165	34	173
166	34	173
167	35	173
168	35	173
169	35	172
170	35	172
171	35	172
172	35	172
173	36	171
174	36	171
175	36	171
176	36	170
177	36	170
178	37	170
179	37	170
180	37	169
181	37	169
182	37	169
183	38	169
184	38	168
185	38	168
186	38	168
187	38	167
188	39	167
189	39	167
190	39	167
191	39	166
192	39	166
193	40	166
194	40	166
195	40	166
196	40	165
197	40	165
198	41	165
199	41	164
200	41	164
201	41	164
202	41	164
203	41	163
204	42	163
205	42	163
206	42	163
207	42	162
208	42	162
209	43	162
210	43	161
211	43	161
212	43	161
213	43	161
214	44	161
215	44	160
216	44	160
217	44	160
218	44	160
219	45	159
220	45	159
221	45	159
222	45	159
223	45	158
224	46	158
225	46	158
226	46	158
227	46	157
228	46	157
229	46	157
230	47	156
231	47	156
232	47	156
233	47	156
234	47	156
235	48	156
236	48	155
237	48	155
238	48	155
239	48	155
240	49	154
241	49	154
242	49	154
243	49	154
244	49	153
245	50	153
246	50	153
247	50	153
248	50	153
249	50	152
250	51	152
251	51	152
252	51	152
253	51	151
254	51	151
255	52	151
256	52	151
257	52	151
258	52	150
259	52	150
260	53	150
261	53	150
262	53	149
263	53	149
264	53	149
265	54	149
266	54	148
267	54	148
268	54	148
269	54	148
270	55	148
271	55	147
272	55	147
273	55	147
274	55	147
275	56	147
276	56	147
277	56	146
278	56	146
279	56	146
280	57	146
281	57	145
282	57	145
283	57	145
284	57	145
285	58	144
286	58	144
287	58	144
288	58	144
289	58	144
290	59	143
291	59	143
292	59	143
293	59	143
294	59	142
295	59	142
296	60	142
297	60	142
298	60	141
299	60	141
300	60	141
301	61	141
302	61	141
303	61	140
304	61	140
305	61	140
306	62	140
307	62	140
308	62	139
309	62	139
310	62	139
311	63	139
312	63	138
313	63	138
314	63	138
315	63	138
316	64	138
317	64	137
318	64	137
319	64	137
320	64	137
321	65	137
322	65	136
323	65	136
324	65	136
325	65	136
326	66	135
327	66	135
328	66	135
329	66	135
330	66	134
331	66	134
332	67	134
333	67	134
334	67	134
335	67	133
336	67	133
337	68	133
338	68	133
339	68	133
340	68	133
341	69	132
342	69	132
343	69	132
344	69	132
345	69	131
346	69	131
347	70	131
348	70	131
349	70	131
350	70	130
